resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year,round,circuitId,date,dob,nationality,name,country,driver_age,finished,points_scored
1,18,1,1,22.0,1,1,1,1,10.0,58,1:34:50.616,5690616.0,39.0,2.0,1:27.452,218.3,1,2008,1,1,2008-03-16,1985-01-07,British,McLaren,Australia,23.186858316221766,1,10.0
2,18,2,2,3.0,5,2,2,2,8.0,58,+5.478,5696094.0,41.0,3.0,1:27.739,217.586,1,2008,1,1,2008-03-16,1977-05-10,German,BMW Sauber,Australia,30.850102669404517,1,8.0
3,18,3,3,7.0,7,3,3,3,6.0,58,+8.163,5698779.0,41.0,5.0,1:28.090,216.719,1,2008,1,1,2008-03-16,1985-06-27,German,Williams,Australia,22.718685831622178,1,6.0
4,18,4,4,5.0,11,4,4,4,5.0,58,+17.181,5707797.0,58.0,7.0,1:28.603,215.464,1,2008,1,1,2008-03-16,1981-07-29,Spanish,Renault,Australia,26.63107460643395,1,5.0
5,18,5,1,23.0,3,5,5,5,4.0,58,+18.014,5708630.0,43.0,1.0,1:27.418,218.385,1,2008,1,1,2008-03-16,1981-10-19,Finnish,McLaren,Australia,26.406570841889117,1,4.0
6,18,6,3,8.0,13,6,6,6,3.0,57,,,50.0,14.0,1:29.639,212.974,11,2008,1,1,2008-03-16,1985-01-11,Japanese,Williams,Australia,23.175906913073238,1,3.0
7,18,7,5,14.0,17,7,7,7,2.0,55,,,54.0,8.0,1:29.534,213.224,5,2008,1,1,2008-03-16,1979-02-28,French,Toro Rosso,Australia,29.045859000684462,1,2.0
8,18,8,6,1.0,15,8,8,8,1.0,53,,,20.0,4.0,1:27.903,217.18,5,2008,1,1,2008-03-16,1979-10-17,Finnish,Ferrari,Australia,28.413415468856947,1,1.0
9,18,9,2,4.0,2,,R,9,0.0,47,,,15.0,9.0,1:28.753,215.1,4,2008,1,1,2008-03-16,1984-12-07,Polish,BMW Sauber,Australia,23.27173169062286,0,0.0
10,18,10,7,12.0,18,,R,10,0.0,43,,,23.0,13.0,1:29.558,213.166,3,2008,1,1,2008-03-16,1982-03-18,German,Toyota,Australia,25.9958932238193,0,0.0
11,18,11,8,18.0,19,,R,11,0.0,32,,,24.0,15.0,1:30.892,210.038,7,2008,1,1,2008-03-16,1977-01-28,Japanese,Super Aguri,Australia,31.129363449691994,0,0.0
